organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Agriotes mancus,1132040,Elateridae,Polyphaga,DToL,icAgrManc1_a1.2,Scaffold,published,GCA_041228545.2,JBGEDF02,2106.57,15208965,Scaffold,GCA_041228545.2,assembly,yes
Agriotes obscurus,350085,Elateridae,Polyphaga,DToL,icAgrObsc1_p1.2,Scaffold,published,GCA_040955315.2,JBEBYU02,2492.91,1433701,Scaffold,GCA_040955315.2,assembly,yes
Agriotes obscurus,350085,Elateridae,Polyphaga,DToL,icAgrObsc1_a1.2,Scaffold,published,GCA_040955265.2,JBEBYV02,2087.5,1554508,Scaffold,GCA_040955265.2,assembly,yes
Agriotes pubescens,1845008,Elateridae,Polyphaga,DToL,icAgrPube1_p1.2,Scaffold,published,GCA_044115395.2,JBINJA02,2132.22,206332,Scaffold,GCA_044115395.2,assembly,yes
Agriotes pubescens,1845008,Elateridae,Polyphaga,DToL,icAgrPube1_a1.2,Scaffold,published,GCA_044115355.2,JBINIZ02,887.49,187334,Scaffold,GCA_044115355.2,assembly,yes
Agriotes sputator,346689,Elateridae,Polyphaga,DToL,icAgrSput4_p1.2,Scaffold,published,GCA_044115325.2,JBINJO02,1922.88,16345600,Scaffold,GCA_044115325.2,assembly,yes
Agriotes sputator,346689,Elateridae,Polyphaga,DToL,icAgrSput4_a1.2,Scaffold,published,GCA_044115275.2,JBINJN02,1056.56,11899110,Scaffold,GCA_044115275.2,assembly,yes
Agrypnus murinus,195168,Elateridae,Polyphaga,DToL,icAgrMuri1.1 alternate haplotype,alternate_haplotype,published,GCA_929114945.1,CAKMYP01,1216.22,448824,Scaffold,GCA_929114945.1,assembly,yes
Alaus oculatus,374458,Elateridae,Polyphaga,unknown,ASM985246v2,Scaffold,published,GCA_009852465.2,WUUV02,7.31,828,Scaffold,GCA_009852465.2,assembly,yes
Aleochara curtula,135881,Staphylinidae,Polyphaga,DToL,icAleCurt1.1 alternate haplotype,alternate_haplotype,published,GCA_963978855.1,CAXBUF01,133.39,2214126,Contig,GCA_963978855.1,assembly,yes
Aleochara sp. GC000083,3032618,Staphylinidae,Polyphaga,unknown,Caltech_Ale_1.0,alternate_haplotype,published,GCA_030264555.1,JARJDZ01,152.72,27552,Scaffold,GCA_030264555.1,assembly,yes
Altica lythri,346691,Chrysomelidae,Polyphaga,DToL,icAltLyth1.1 alternate haplotype,alternate_haplotype,published,GCA_964028145.1,CAXIIP01,1786.86,1915886,Scaffold,GCA_964028145.1,assembly,yes
Amara convexiuscula,1553052,Carabidae,Adephaga,DToL,icAmaConx1.hap1.1,Chromosome,published,GCA_981560045.1,CERFVN01,742.49,2760791,Chromosome,GCA_981560045.1,assembly,yes
Amara ovata,346692,Carabidae,Adephaga,DToL,icAmaOvat1.hap2.1,Chromosome,published,GCA_965279835.1,CBDIIV01,812.77,4815345,Chromosome,GCA_965279835.1,assembly,yes
Amphimallon solstitiale,360071,Scarabaeidae,Polyphaga,DToL,icAmpSols1.1 alternate haplotype,alternate_haplotype,published,GCA_963170735.1,CAUJHB01,1372.12,261090,Scaffold,GCA_963170735.1,assembly,yes
Amphistomus primonactus,318779,Scarabaeidae,Polyphaga,unknown,ASM3355754v1,Contig,published,GCA_033557545.1,JAWQRK01,30.0,3959,Contig,GCA_033557545.1,assembly,yes
Anaglyptus mysticus,877856,Cerambycidae,Polyphaga,DToL,icAnaMyst1.hap2.1,Scaffold,published,GCA_978041825.1,CDXGPD01,933.65,7263778,Scaffold,GCA_978041825.1,assembly,yes
Anaspis maculata,295995,Scraptiidae,Polyphaga,DToL,icAnaMacu3.1 alternate haplotype,alternate_haplotype,published,GCA_949128105.1,CASBRT01,722.94,270564,Contig,GCA_949128105.1,assembly,yes
Anaspis regimbarti,346699,Scraptiidae,Polyphaga,DToL,icAnaRegi1.1 alternate haplotype,alternate_haplotype,published,GCA_964204705.1,CAXNRH01,467.93,765541,Scaffold,GCA_964204705.1,assembly,yes
Anaulacaspis nigra,1553355,Staphylinidae,Polyphaga,unknown,Caltech_Anig_1.0,alternate_haplotype,published,GCA_030264675.1,JARJDV01,107.51,28042,Scaffold,GCA_030264675.1,assembly,yes
Anisosticta novemdecimpunctata,185876,Coccinellidae,Polyphaga,DToL,icAniNove2.1 alternate haplotype,alternate_haplotype,published,GCA_964188085.1,CAXLOS01,425.45,4253225,Scaffold,GCA_964188085.1,assembly,yes
Anoplophora chinensis,217632,Cerambycidae,Polyphaga,unknown,ASM5281520v1,Chromosome,published,GCA_052815205.1,JBQRKQ01,661.15,7684180,Chromosome,GCA_052815205.1,assembly,yes
Anoplophora glabripennis,217634,Cerambycidae,Polyphaga,Ag100Pest,Agla_1.0,Chromosome,published,GCA_054644005.1,JBTKXK01,705.71,12457337,Chromosome,GCA_054644005.1,assembly,yes
Anoplophora malasiaca,3680197,Cerambycidae,Polyphaga,unknown,Amal_1.0,Chromosome,published,GCA_054644075.1,JBTKXL01,674.34,12712079,Chromosome,GCA_054644075.1,assembly,yes
Chrysina gloriosa,3098083,Scarabaeidae,Polyphaga,unknown,Cglo_1.0,Chromosome,published,GCA_038088585.1,JAYRCI01,642.27,3880439,Chromosome,GCA_038088585.1,assembly,yes
Chrysina resplendens,1897488,Scarabaeidae,Polyphaga,unknown,ASM1009189v2,Scaffold,published,GCA_010091895.2,JAADJY02,68.25,852,Scaffold,GCA_010091895.2,assembly,yes
Chrysolina americana,75506,Chrysomelidae,Polyphaga,DToL,icChrAmer1.1 alternate haplotype,alternate_haplotype,published,GCA_958501925.1,CAUEHE01,866.37,568128,Contig,GCA_958501925.1,assembly,yes
Chrysolina graminis,111401,Chrysomelidae,Polyphaga,DToL,icChrGram1.hap2.1,Scaffold,published,GCA_964197765.1,CAXMXH01,1455.42,3004824,Scaffold,GCA_964197765.1,assembly,yes
Chrysolina haemoptera,75519,Chrysomelidae,Polyphaga,DToL,icChrHaem1.1 alternate haplotype,alternate_haplotype,published,GCA_958298995.1,CATQJK01,453.27,67971,Contig,GCA_958298995.1,assembly,yes
Chrysolina herbacea,75521,Chrysomelidae,Polyphaga,DToL,icChrHerb2.hap2.1,Scaffold,published,GCA_979299855.1,CEEJZW01,1204.85,1242014,Scaffold,GCA_979299855.1,assembly,yes
Chrysolina oricalcia,1587174,Chrysomelidae,Polyphaga,DToL,icChrOric1.2 alternate haplotype,alternate_haplotype,published,GCA_944452915.2,CALYCD02,328.97,39201,Scaffold,GCA_944452915.2,assembly,yes
Chrysomela aeneicollis,153825,Chrysomelidae,Polyphaga,DToL,icChrAene1.0.hap1,Scaffold,published,GCA_029955515.1,JARUHQ01,570.34,6613287,Scaffold,GCA_029955515.1,assembly,yes
Chrysomela aeneicollis,153825,Chrysomelidae,Polyphaga,unknown,Caen_1.0,Chromosome,published,GCA_027562985.1,JAJBZR01,353.92,35526,Chromosome,GCA_027562985.1,assembly,yes
Chrysomela aeneicollis,153825,Chrysomelidae,Polyphaga,DToL,icChrAene1.0.hap2,Scaffold,published,GCA_029955535.1,JARUHR01,646.74,5166779,Scaffold,GCA_029955535.1,assembly,yes
Cis bilamellatus,577748,Ciidae,Polyphaga,DToL,icCisBila1.1 alternate haplotype,alternate_haplotype,published,GCA_977930305.1,CDWRDB01,2.03,254911,Scaffold,GCA_977930305.1,assembly,yes
Clivina fossor,795047,Carabidae,Adephaga,DToL,icCliFoss2.1 alternate haplotype,alternate_haplotype,published,GCA_963966135.1,CAWYQE01,576.52,914385,Scaffold,GCA_963966135.1,assembly,yes
Coccinella septempunctata,41139,Coccinellidae,Polyphaga,DToL,icCocSept1.1 alternate haplotype,alternate_haplotype,published,GCA_907165185.1,CAJRBA01,389.07,12431197,Contig,GCA_907165185.1,assembly,yes
Coccinella transversoguttata,1790162,Coccinellidae,Polyphaga,unknown,ASM5347823v1,Chromosome,published,GCA_053478235.1,JBPBLL01,416.88,27814102,Chromosome,GCA_053478235.1,assembly,yes
Coccinella transversoguttata,1790162,Coccinellidae,Polyphaga,unknown,ASM5652246v1,Chromosome,published,GCA_056522465.1,JBSYTO01,376.26,41602012,Chromosome,GCA_056522465.1,assembly,yes
Pyrochroa serraticornis,346838,Pyrochroidae,Polyphaga,DToL,icPyrSerr1.2,Chromosome,published,GCA_905333025.2,CAJOSL02,249.4,12970676,Chromosome,GCA_905333025.2,assembly,yes
Pyrochroa serraticornis,346838,Pyrochroidae,Polyphaga,DToL,icPyrSerr1.1 alternate haplotype,alternate_haplotype,published,GCA_905333035.1,CAJOSM01,226.8,288810,Contig,GCA_905333035.1,assembly,yes
Pyrocoelia pectoralis,417401,Lampyridae,Polyphaga,unknown,FXH_PpeL_2.0,Chromosome,published,GCA_036250285.1,JAVRBK01,532.08,3077264,Chromosome,GCA_036250285.1,assembly,yes
Quadriops clusia,2827049,Hydrophilidae,Polyphaga,unknown,ASM3355787v1,Contig,published,GCA_033557875.1,JAWQRP01,191.57,10607,Contig,GCA_033557875.1,assembly,yes
Radziella styx,3237728,Leiodidae,Polyphaga,DToL,icRadStyx9.Hap1.1,Chromosome,published,GCA_979475445.1,CEFJWE01,340.01,844232,Chromosome,GCA_979475445.1,assembly,yes
Rhagium mordax,295679,Cerambycidae,Polyphaga,DToL,icRhaMord1.1 alternate haplotype,alternate_haplotype,published,GCA_963680695.1,CAVMFV01,642.81,197342,Scaffold,GCA_963680695.1,assembly,yes
Rhagonycha fulva,41101,Cantharidae,Polyphaga,DToL,icRhaFulv1.1 alternate haplotype,alternate_haplotype,published,GCA_905340395.1,CAJPIB01,363.53,549097,Contig,GCA_905340395.1,assembly,yes
Rhagonycha lignosa,195289,Cantharidae,Polyphaga,DToL,icRhaLign2.1 alternate haplotype,alternate_haplotype,published,GCA_965213395.1,CBDBZA01,542.73,344917,Contig,GCA_965213395.1,assembly,yes
Rhagonycha lutea,1553715,Cantharidae,Polyphaga,DToL,icRhaLute1.1 alternate haplotype,alternate_haplotype,published,GCA_958510815.1,CAUEHN01,389.55,274740,Contig,GCA_958510815.1,assembly,yes
Rhagophthalmus giganteus,2591746,Rhagophthalmidae,Polyphaga,unknown,kiz_Sta_v1,Contig,published,GCA_036326145.1,JARFJA01,275.49,22250735,Contig,GCA_036326145.1,assembly,yes
Rhamnusium bicolor,1586634,Cerambycidae,Polyphaga,unknown,MPICE_RBIC_1,Contig,published,GCA_029963845.1,JANEYF01,1141.6,632732,Contig,GCA_029963845.1,assembly,yes
Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,unknown,kcgeb_rfMv2,Scaffold,published,GCA_030347505.2,JASCQM01,777.69,20155528,Scaffold,GCA_030347505.2,assembly,yes
Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,unknown,UGA_Rfer_1.0.alt,alternate_haplotype,published,GCA_014490705.1,JAACXW01,588.8,37977,Scaffold,GCA_014490705.1,assembly,yes
Rhyzobius forestieri,2849648,Coccinellidae,Polyphaga,DToL,icRhyFore2.1 alternate haplotype,alternate_haplotype,published,GCA_966185145.1,CBIFTL01,745.96,52947,Contig,GCA_966185145.1,assembly,yes
Rhyzopertha dominica,92692,Bostrichidae,Polyphaga,unknown,ASM5587860v1,Chromosome,published,GCA_055878605.1,JBWAYP01,497.29,2697104,Chromosome,GCA_055878605.1,assembly,yes
Rhyzopertha dominica,92692,Bostrichidae,Polyphaga,unknown,Rdo_ARS_Dec2018,Scaffold,published,GCA_025024175.1,QCXZ01,479.17,878850,Scaffold,GCA_025024175.1,assembly,yes
Rhyzopertha dominica,92692,Bostrichidae,Polyphaga,unknown,ASM5455314v1,Chromosome,published,GCA_054553145.1,JBSVRU01,490.55,2728449,Chromosome,GCA_054553145.1,assembly,yes
Rosalia funebris,3116773,Cerambycidae,Polyphaga,unknown,Rfune_1.0,Contig,published,GCA_037954035.1,JAZFAV01,814.0,30181154,Contig,GCA_037954035.1,assembly,yes
Rutpela maculata,878968,Cerambycidae,Polyphaga,DToL,icLepMacu1.2,Chromosome,published,GCA_936432065.2,CAKZFB02,2021.56,4272090,Chromosome,GCA_936432065.2,assembly,yes
Rutpela maculata,878968,Cerambycidae,Polyphaga,DToL,icLepMacu1.2 alternate haplotype,alternate_haplotype,published,GCA_936443135.2,CAKZFM02,1684.64,247200,Contig,GCA_936443135.2,assembly,yes
Helictopleurus sicardi,422258,Scarabaeidae,Polyphaga,unknown,ASM3355724v1,Contig,published,GCA_033557245.1,JAWQRG01,8.73,555,Contig,GCA_033557245.1,assembly,yes
Helictopleurus sicardi,422258,Scarabaeidae,Polyphaga,unknown,ASM3355714v1,Contig,published,GCA_033557145.1,JAWQRF01,6.1,408,Contig,GCA_033557145.1,assembly,yes
Helochares maculicollis,2064893,Hydrophilidae,Polyphaga,unknown,ASM3355783v1,Contig,published,GCA_033557835.1,JAWQRO01,25.69,48633,Contig,GCA_033557835.1,assembly,yes
Hemicrepidius hirtus,1132043,Elateridae,Polyphaga,DToL,icHemNige1.1 alternate haplotype,alternate_haplotype,published,GCA_963082985.1,CAUJBS01,327.91,734177,Contig,GCA_963082985.1,assembly,yes
Henosepilachna vigintioctopunctata,420089,Coccinellidae,Polyphaga,unknown,SYSU_HVIGI_v1.0,Contig,published,GCA_030704895.1,JARQZJ01,496.12,5762660,Contig,GCA_030704895.1,assembly,yes
Hermaeophaga mercurialis,347362,Chrysomelidae,Polyphaga,DToL,icHerMerc2.1 alternate haplotype,alternate_haplotype,published,GCA_951812905.1,CATOTM01,101.49,19987,Contig,GCA_951812905.1,assembly,yes
Herpes porcellus,3065877,Curculionidae,Polyphaga,unknown,Genome assembly of Herpes porcellus icHerPorc,Chromosome,published,GCA_981691985.1,CERYYC01,775.83,8297486,Chromosome,GCA_981691985.1,assembly,yes
Hippodamia convergens,64696,Coccinellidae,Polyphaga,unknown,Hcon_USA_1,Chromosome,published,GCA_038502775.1,JAVSIQ01,619.23,621899,Chromosome,GCA_038502775.1,assembly,yes
Hippodamia variegata,703264,Coccinellidae,Polyphaga,unknown,ASM4642442v1,Chromosome,published,GCA_046424425.1,JBJYYB01,443.72,33707572,Chromosome,GCA_046424425.1,assembly,yes
Holobus sp. GC000080,3034851,Staphylinidae,Polyphaga,unknown,Caltech_Hol_1.0,alternate_haplotype,published,GCA_030556065.1,JASKGO01,115.99,27575,Scaffold,GCA_030556065.1,assembly,yes
Hololepta plana,290657,Histeridae,Polyphaga,DToL,icHolPlan1.2 alternate haplotype,alternate_haplotype,published,GCA_963700325.2,CAVOXW02,99.68,153025,Contig,GCA_963700325.2,assembly,yes
Holotrichia oblita,644536,Scarabaeidae,Polyphaga,unknown,ASM2369052v1,Chromosome,published,GCA_023690525.1,JALQSN01,1415.11,369487,Chromosome,GCA_023690525.1,assembly,yes
Deinopsis erosa,347323,Staphylinidae,Polyphaga,unknown,Caltech_Dero_1.0,alternate_haplotype,published,GCA_027574845.2,JAODFZ02,152.98,3487,Scaffold,GCA_027574845.2,assembly,yes
Dendarus foraminosus,2712997,Tenebrionidae,Polyphaga,DToL,icDenFora10.1,Chromosome,published,GCA_965152765.1,CBCUDB01,593.95,24404000,Chromosome,GCA_965152765.1,assembly,yes
Dendroctonus frontalis,77161,Curculionidae,Polyphaga,unknown,ASM4011331v1,Chromosome,published,GCA_040113315.1,JBCARF01,173.6,24829404,Chromosome,GCA_040113315.1,assembly,yes
Dendroctonus ponderosae,77166,Curculionidae,Polyphaga,unknown,Dpon_F_20191213v2,Scaffold,published,GCA_020466585.2,JAFETG01,223.6,26086,Scaffold,GCA_020466585.2,assembly,yes
Dendroctonus ponderosae,77166,Curculionidae,Polyphaga,unknown,Dpon_M_20191212v2,Scaffold,published,GCA_020466635.2,JAFETF01,223.66,16340,Scaffold,GCA_020466635.2,assembly,yes
Dendroctonus valens,77173,Curculionidae,Polyphaga,unknown,ASM2455062v1,Scaffold,published,GCA_024550625.1,JAJTJO01,322.41,985469,Scaffold,GCA_024550625.1,assembly,yes
Denticollis linearis,333879,Elateridae,Polyphaga,DToL,icDenLine1.1 alternate haplotype,alternate_haplotype,published,GCA_964205195.1,CAXNTB01,1392.35,699147,Scaffold,GCA_964205195.1,assembly,yes
Dermolepida albohirtum,1980614,Scarabaeidae,Polyphaga,unknown,CSIRO_AGI_Dalb_v1.1,Contig,published,GCA_031893035.2,JAVIWB01,884.24,368483,Contig,GCA_031893035.2,assembly,yes
Diabrotica balteata,107213,Chrysomelidae,Polyphaga,unknown,PGI_DIABBA_v3,Chromosome,published,GCA_918026665.1,CAKJVB03,1607.26,1459540,Chromosome,GCA_918026665.1,assembly,yes
Diabrotica undecimpunctata,50387,Chrysomelidae,Polyphaga,DToL,icDiaUnde3,Chromosome,published,GCA_040954645.1,JBDMBP01,1742.96,5175425,Chromosome,GCA_040954645.1,assembly,yes
Diabrotica undecimpunctata,50387,Chrysomelidae,Polyphaga,DToL,icDiaUnde3 alternate haplotype,alternate_haplotype,published,GCA_040955085.1,JBDMBQ01,1284.87,670861,Contig,GCA_040955085.1,assembly,yes
Diabrotica virgifera virgifera,50390,Chrysomelidae,Polyphaga,unknown,PGI_DIABVI_V3a,Chromosome,published,GCA_917563875.2,,2533.4,7930419,Chromosome,GCA_917563875.2,assembly,yes
Diaperis boleti,433215,Tenebrionidae,Polyphaga,DToL,icDiaBole1.1 alternate haplotype,alternate_haplotype,published,GCA_963583915.1,CAUZXD01,421.83,2300784,Contig,GCA_963583915.1,assembly,yes
Diaprepes abbreviatus,13040,Curculionidae,Polyphaga,unknown,Dabb_1.0,Contig,published,GCA_034092305.1,JASJET01,1623.12,7800247,Contig,GCA_034092305.1,assembly,yes
Dicheirus dilatatus,2890184,Carabidae,Adephaga,DToL,icDicDila1.0.p,Scaffold,published,GCA_043773905.1,JBECYY01,698.48,2101690,Scaffold,GCA_043773905.1,assembly,yes
Dicheirus dilatatus,2890184,Carabidae,Adephaga,DToL,icDicDila1.0.a,Scaffold,published,GCA_043773845.1,JBECYX01,518.93,2484792,Scaffold,GCA_043773845.1,assembly,yes
Digitonthophagus gazella,206854,Scarabaeidae,Polyphaga,unknown,IU_Dgaz_1.0,Scaffold,published,GCA_036711955.1,JASCIT01,340.79,33022298,Scaffold,GCA_036711955.1,assembly,yes
Diorhabda carinata,1163344,Chrysomelidae,Polyphaga,DToL,icDioCarn1.1_alt,alternate_haplotype,published,GCA_029229525.1,JAOVVN01,130.15,132569,Scaffold,GCA_029229525.1,assembly,yes
Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,DToL,icDioCari1.1,Chromosome,published,GCA_026250575.1,JAOVUX01,415.37,23459757,Chromosome,GCA_026250575.1,assembly,yes
Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,DToL,icDioCari1.1,Chromosome,published,GCA_026250575.2,JAOVUX01,415.37,23459757,Chromosome,GCA_026250575.2,assembly,yes
Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,DToL,icDioCari1.1_alt,alternate_haplotype,published,GCA_026250545.1,JAOVUY01,367.49,1814905,Contig,GCA_026250545.1,assembly,yes
Diorhabda elongata,217247,Chrysomelidae,Polyphaga,DToL,icDioElon1.1_alt,alternate_haplotype,published,GCA_026230125.1,JAOVVK01,232.7,90299,Scaffold,GCA_026230125.1,assembly,yes
Diorhabda sublineata,1163346,Chrysomelidae,Polyphaga,DToL,icDioSubl1.1,Chromosome,published,GCA_026230105.1,JAPHNJ01,456.22,12487216,Chromosome,GCA_026230105.1,assembly,yes
Diorhabda sublineata,1163346,Chrysomelidae,Polyphaga,DToL,icDioSubl1.1_alt,alternate_haplotype,published,GCA_026230165.1,JAPHNK01,208.94,164786,Scaffold,GCA_026230165.1,assembly,yes
Diorygopyx duplodentatus,3050892,Scarabaeidae,Polyphaga,unknown,ASM3355751v1,Contig,published,GCA_033557515.1,JAWQRJ01,497.0,3850,Contig,GCA_033557515.1,assembly,yes
Diploeciton nevermanni,1897744,Staphylinidae,Polyphaga,unknown,ASM2757556v1,Scaffold,published,GCA_027575565.1,JAODIE01,110.46,90103,Scaffold,GCA_027575565.1,assembly,yes
Distenia gracilis,1498004,Cerambycidae,Polyphaga,unknown,Dgra_1.0,Chromosome,published,GCA_055671715.1,JBUZWO01,1835.74,27182915,Chromosome,GCA_055671715.1,assembly,yes
Donacia provostii,225698,Chrysomelidae,Polyphaga,unknown,ASM5255079v1,Scaffold,published,GCA_052550795.1,JBMHBG01,1760.45,26426422,Scaffold,GCA_052550795.1,assembly,yes
Dorcus hopei,618762,Lucanidae,Polyphaga,unknown,AHU_Dhop_1.0,Chromosome,published,GCA_033060865.1,JAUPFK01,520.71,3575657,Chromosome,GCA_033060865.1,assembly,yes
Dorcus parallelipipedus,41107,Lucanidae,Polyphaga,DToL,icDorPara1.1 alternate haplotype,alternate_haplotype,published,GCA_958336325.1,CATVIE01,374.61,179977,Contig,GCA_958336325.1,assembly,yes
Dorylogaster longipes,1886655,Staphylinidae,Polyphaga,unknown,ASM2758003v1,Scaffold,published,GCA_027580035.1,JAODFX01,210.38,2250,Scaffold,GCA_027580035.1,assembly,yes
Dorysthenes granulosus,690275,Cerambycidae,Polyphaga,unknown,ASM5281582v1,Chromosome,published,GCA_052815825.1,JBQRUT01,1008.06,2297689,Chromosome,GCA_052815825.1,assembly,yes
Dromius quadrimaculatus,346772,Carabidae,Adephaga,DToL,icDroQuad1.1 alternate haplotype,alternate_haplotype,published,GCA_963989235.1,CAXDIH01,876.92,2040953,Scaffold,GCA_963989235.1,assembly,yes
Drusilla canaliculata,135868,Staphylinidae,Polyphaga,unknown,Caltech_Dcan_1.0,alternate_haplotype,published,GCA_027574885.2,JAODGA02,265.28,2684,Scaffold,GCA_027574885.2,assembly,yes
Dynastes grantii,60843,Scarabaeidae,Polyphaga,unknown,ASM2961932v2,Scaffold,published,GCA_029619325.2,JAROYF02,678.74,216440,Scaffold,GCA_029619325.2,assembly,yes
Dynastes hercules hercules,1767008,Scarabaeidae,Polyphaga,unknown,ASM5193900v1,Scaffold,published,GCA_051939005.1,JBNAZS01,770.98,751886,Scaffold,GCA_051939005.1,assembly,yes
Dynastes hercules paschoali,1767011,Scarabaeidae,Polyphaga,unknown,ASM5193898v1,Scaffold,published,GCA_051938985.1,JBNAZR01,689.65,402584,Scaffold,GCA_051938985.1,assembly,yes
Dynastes hercules reidi,1767012,Scarabaeidae,Polyphaga,unknown,ASM5193902v1,Scaffold,published,GCA_051939025.1,JBNAZT01,837.13,1761913,Scaffold,GCA_051939025.1,assembly,yes
Dynastes hercules septentrionalis,1767013,Scarabaeidae,Polyphaga,unknown,ASM5193896v1,Scaffold,published,GCA_051938965.1,JBNAZQ01,680.27,281500,Scaffold,GCA_051938965.1,assembly,yes
Dynastes hyllus,1767015,Scarabaeidae,Polyphaga,unknown,ASM2961925v2,Scaffold,published,GCA_029619255.2,JAROYC02,621.81,81759,Scaffold,GCA_029619255.2,assembly,yes
Dynastes maya,1767016,Scarabaeidae,Polyphaga,unknown,ASM2961931v2,Scaffold,published,GCA_029619315.2,JAROYE02,719.21,13030375,Scaffold,GCA_029619315.2,assembly,yes
Dynastes tityus,1248199,Scarabaeidae,Polyphaga,unknown,ASM2961887v2,Scaffold,published,GCA_029618875.2,JAROYD02,708.72,974450,Scaffold,GCA_029618875.2,assembly,yes
Earota dentata,866044,Staphylinidae,Polyphaga,unknown,Caltech_Eden_1.0,alternate_haplotype,published,GCA_027574905.2,JAODGB02,206.28,3091,Scaffold,GCA_027574905.2,assembly,yes
Ecitodaemon sp. MM-2014,3034929,Staphylinidae,Polyphaga,unknown,Caltech_Eda_1.0,alternate_haplotype,published,GCA_030557295.1,JARRAA01,187.9,4976,Scaffold,GCA_030557295.1,assembly,yes
Ecitoglossa quadriceps,1916246,Staphylinidae,Polyphaga,unknown,ASM2757492v1,Scaffold,published,GCA_027574925.1,JAODGC01,123.41,22296,Scaffold,GCA_027574925.1,assembly,yes
