accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
NC_035714.1,Manticora tibialis,Carabidae,Adephaga,16439,2017/08/31,no
NC_065263.1,Mastax latefasciata,Carabidae,Adephaga,16735,2022/08/03,no
ON674050.1,Mastax latefasciata,Carabidae,Adephaga,16735,2022/07/12,no
MT554378.1,Metacolpodes buchanani,Carabidae,Adephaga,16561,2024/05/01,no
KT876906.1,Nebria brevicollis,Carabidae,Adephaga,21161,2016/06/20,yes
MW244066.1,Nebria ingens riversi,Carabidae,Adephaga,15808,2021/05/12,no
NC_066078.1,Nipponoharpalus discrepans,Carabidae,Adephaga,16027,2022/09/13,no
MW800883.1,Notiophilus quadripunctatus,Carabidae,Adephaga,15312,2022/06/11,no
NC_064369.1,Notiophilus quadripunctatus,Carabidae,Adephaga,15312,2022/06/23,no
NC_067792.1,Omoglymmius wukong,Carabidae,Adephaga,15378,2022/11/12,no
OK040658.1,Omoglymmius wukong,Carabidae,Adephaga,15378,2022/10/10,no
MW800882.1,Omophron limbatum,Carabidae,Adephaga,15438,2022/06/11,no
NC_064368.1,Omophron limbatum,Carabidae,Adephaga,15438,2022/06/23,no
PX591248.1,Pheropsophus javanus,Carabidae,Adephaga,16752,2025/11/29,no
MW629557.1,Pheropsophus occipitalis,Carabidae,Adephaga,16800,2021/04/27,no
PX606622.1,Poecilus fortipes,Carabidae,Adephaga,16847,2026/01/19,no
PX606623.1,Poecilus gebleri,Carabidae,Adephaga,15800,2026/01/19,no
PZ095930.1,Pogonus chalceus,Carabidae,Adephaga,17079,2026/03/08,yes
PZ095931.1,Pogonus chalceus,Carabidae,Adephaga,17079,2026/03/08,yes
PZ095932.1,Pogonus chalceus,Carabidae,Adephaga,16204,2026/03/08,yes
PX606625.1,Pristosia nitidula,Carabidae,Adephaga,17352,2026/01/19,no
PV766248.1,Pterostichus adstrictus,Carabidae,Adephaga,16684,2025/06/16,no
PV762937.1,Pterostichus interruptus,Carabidae,Adephaga,17149,2025/06/14,no
KT876910.1,Pterostichus madidus,Carabidae,Adephaga,18324,2016/06/20,yes
KT876909.1,Pterostichus niger,Carabidae,Adephaga,17160,2016/06/20,yes
MN122874.1,Pterostichus niger,Carabidae,Adephaga,17162,2019/09/02,yes
NC_044760.1,Pterostichus niger,Carabidae,Adephaga,17162,2019/09/21,yes
PV766249.1,Pterostichus orientalis,Carabidae,Adephaga,17177,2025/06/16,no
MT554377.1,Pterostichus prattii,Carabidae,Adephaga,16189,2024/05/01,no
PV766247.1,Pterostichus procax,Carabidae,Adephaga,16288,2025/06/16,no
KX035156.1,Rhysodes sp. BMNH-844233,Carabidae,Adephaga,16315,2017/10/31,no
NC_067745.1,Rhyzodiastes puetzi,Carabidae,Adephaga,16793,2022/11/12,no
OK323373.1,Rhyzodiastes puetzi,Carabidae,Adephaga,16793,2022/10/09,no
NC_060736.1,Scarites subterraneus,Carabidae,Adephaga,16163,2022/02/11,no
OK032609.1,Scarites subterraneus,Carabidae,Adephaga,16241,2021/12/08,no
OL872182.1,Scarites subterraneus,Carabidae,Adephaga,16163,2022/02/05,no
KT876914.1,Stomis pumicatus,Carabidae,Adephaga,17265,2016/06/20,no
KX087349.1,Stomis pumicatus,Carabidae,Adephaga,17263,2017/10/13,no
NC_085183.1,Synuchus nitidus,Carabidae,Adephaga,16392,2024/02/01,no
OR755976.1,Synuchus nitidus,Carabidae,Adephaga,16392,2023/12/05,no
KX035142.1,Tachyta nana,Carabidae,Adephaga,16165,2017/10/31,no
NC_036261.1,Tachyta nana,Carabidae,Adephaga,16165,2017/11/16,no
MT554380.1,Tricondyla gestroi,Carabidae,Adephaga,16146,2024/05/01,no
OR149089.1,Acalolepta permutans,Cerambycidae,Polyphaga,15500,2024/08/19,no
PV606471.1,Acalolepta permutans,Cerambycidae,Polyphaga,15503,2025/05/12,no
MN420471.1,Aegolipton marginale,Cerambycidae,Polyphaga,16759,2020/11/07,no
KY773686.1,Aegosoma sinicum,Cerambycidae,Polyphaga,15658,2018/07/17,no
NC_038089.1,Aegosoma sinicum,Cerambycidae,Polyphaga,15658,2018/07/31,no
AB703463.1,Aeolesthes oenochrous,Cerambycidae,Polyphaga,15747,2014/09/23,no
NC_025243.1,Aeolesthes oenochrous,Cerambycidae,Polyphaga,15747,2014/10/04,no
MW617354.1,Agapanthia amurensis,Cerambycidae,Polyphaga,15512,2021/08/30,no
MN473114.1,Agapanthia daurica,Cerambycidae,Polyphaga,17153,2020/11/07,no
MW067123.1,Agelasta perplexa,Cerambycidae,Polyphaga,15552,2020/11/06,no
NC_053905.1,Agelasta perplexa,Cerambycidae,Polyphaga,15552,2021/03/26,no
NC_061181.1,Allotraeus orientalis,Cerambycidae,Polyphaga,15966,2022/03/11,no
OM069309.1,Allotraeus orientalis,Cerambycidae,Polyphaga,15966,2022/02/14,no
KY773687.1,Anastrangalia sequensi,Cerambycidae,Polyphaga,16269,2018/07/17,no
NC_038090.1,Anastrangalia sequensi,Cerambycidae,Polyphaga,16269,2018/07/31,no
MN356095.1,Annamanum lunulatum,Cerambycidae,Polyphaga,15610,2020/03/18,no
NC_046851.1,Annamanum lunulatum,Cerambycidae,Polyphaga,15610,2020/04/10,no
MT809475.1,Anoplistes halodendri,Cerambycidae,Polyphaga,15697,2020/09/17,no
NC_053350.1,Anoplistes halodendri,Cerambycidae,Polyphaga,15697,2021/03/09,no
KT726932.1,Anoplophora chinensis,Cerambycidae,Polyphaga,15805,2015/12/16,yes
MN882586.1,Anoplophora chinensis,Cerambycidae,Polyphaga,15871,2022/03/16,yes
NC_029230.1,Anoplophora chinensis,Cerambycidae,Polyphaga,15805,2016/02/12,yes
DQ768215.1,Anoplophora glabripennis,Cerambycidae,Polyphaga,15774,2006/06/25,yes
NC_008221.1,Anoplophora glabripennis,Cerambycidae,Polyphaga,15774,2006/06/28,yes
MN248534.1,Anoplophora horsfieldi,Cerambycidae,Polyphaga,15796,2022/04/18,no
MW364565.1,Anoplophora horsfieldi,Cerambycidae,Polyphaga,15837,2021/03/28,no
NC_059864.1,Anoplophora horsfieldi,Cerambycidae,Polyphaga,15837,2022/01/04,no
MW858151.1,Apriona germarii,Cerambycidae,Polyphaga,14858,2021/06/15,no
NC_056838.1,Apriona germarii,Cerambycidae,Polyphaga,14858,2021/08/31,no
KX184801.1,Apriona swainsoni,Cerambycidae,Polyphaga,15412,2017/01/31,no
NC_033872.1,Apriona swainsoni,Cerambycidae,Polyphaga,15412,2017/02/27,no
NC_085678.1,Arctolamia fruhstorferi,Cerambycidae,Polyphaga,16014,2024/02/01,no
OR972426.1,Arctolamia fruhstorferi,Cerambycidae,Polyphaga,16014,2023/12/27,no
MW067122.1,Arhopalus unicolor,Cerambycidae,Polyphaga,15760,2020/11/06,yes
NC_053904.1,Arhopalus unicolor,Cerambycidae,Polyphaga,15760,2021/03/26,yes
PV605031.1,Aristobia hispida,Cerambycidae,Polyphaga,15913,2025/05/11,no
MK423971.1,Aristobia reticulator,Cerambycidae,Polyphaga,15838,2019/04/24,no
NC_042151.1,Aristobia reticulator,Cerambycidae,Polyphaga,15838,2019/05/12,no
MT371041.1,Aromia bungii,Cerambycidae,Polyphaga,15760,2020/10/28,no
MW617355.1,Aromia bungii,Cerambycidae,Polyphaga,15652,2021/08/30,no
NC_053714.1,Aromia bungii,Cerambycidae,Polyphaga,15760,2021/03/26,no
OK393714.1,Aromia bungii,Cerambycidae,Polyphaga,15759,2022/08/10,no
OL415177.1,Aromia bungii,Cerambycidae,Polyphaga,15760,2022/11/08,no
PV026027.1,Batocera calanus,Cerambycidae,Polyphaga,15648,2025/02/12,no
NC_080229.1,Batocera horsfieldi,Cerambycidae,Polyphaga,15414,2023/06/26,no
OQ785650.1,Batocera horsfieldi,Cerambycidae,Polyphaga,15414,2023/05/13,no
JN986793.1,Batocera lineolata,Cerambycidae,Polyphaga,15418,2013/10/31,yes
MF521888.1,Batocera lineolata,Cerambycidae,Polyphaga,15420,2017/10/25,yes
MW629558.1,Batocera lineolata,Cerambycidae,Polyphaga,16158,2021/04/27,yes
MZ073344.1,Batocera lineolata,Cerambycidae,Polyphaga,15420,2022/06/22,yes
NC_022671.1,Batocera lineolata,Cerambycidae,Polyphaga,15418,2013/11/03,yes
PV553741.1,Batocera numitor,Cerambycidae,Polyphaga,15417,2025/04/29,no
NC_062817.1,Batocera rubus,Cerambycidae,Polyphaga,16158,2022/04/27,no
OM161963.1,Batocera rubus,Cerambycidae,Polyphaga,16158,2022/03/30,no
OR149086.1,Batocera sp.,Cerambycidae,Polyphaga,16843,2024/08/19,no
MK863507.1,Blepephaeus succinctor,Cerambycidae,Polyphaga,15554,2019/08/26,no
NC_044697.1,Blepephaeus succinctor,Cerambycidae,Polyphaga,15554,2019/09/21,no
MF521835.1,Callipogon relictus,Cerambycidae,Polyphaga,15742,2018/04/02,no
NC_037698.1,Callipogon relictus,Cerambycidae,Polyphaga,15742,2018/07/05,no
OP723915.1,Callipogon relictus,Cerambycidae,Polyphaga,15745,2023/02/20,no
NC_062854.1,Cephalallus oberthueri,Cerambycidae,Polyphaga,15763,2022/04/27,no
OM161964.1,Cephalallus oberthueri,Cerambycidae,Polyphaga,15763,2022/04/05,no
OR496190.1,Ceresium sinicum ornaticolle,Cerambycidae,Polyphaga,15817,2023/10/03,no
PX367311.1,Chlorida sp.,Cerambycidae,Polyphaga,15667,2025/09/20,no
MZ707509.1,Chlorophorus annularis,Cerambycidae,Polyphaga,15487,2022/02/20,no
NC_061058.1,Chlorophorus annularis,Cerambycidae,Polyphaga,15487,2022/02/24,no
PQ239536.1,Chlorophorus annularis,Cerambycidae,Polyphaga,15488,2025/02/04,no
PQ239537.1,Chlorophorus annularoides,Cerambycidae,Polyphaga,15644,2025/02/04,no
PQ239538.1,Chlorophorus annulatus,Cerambycidae,Polyphaga,15638,2025/02/04,no
PQ239539.1,Chlorophorus arciferus,Cerambycidae,Polyphaga,15525,2025/02/04,no
PQ239552.1,Chlorophorus cf. punctiger tamdaoensis,Cerambycidae,Polyphaga,15523,2025/02/04,no
PQ239540.1,Chlorophorus coniperda,Cerambycidae,Polyphaga,15511,2025/02/04,no
PQ239541.1,Chlorophorus copiosus,Cerambycidae,Polyphaga,15507,2025/02/04,no
PQ239542.1,Chlorophorus diadema diadema,Cerambycidae,Polyphaga,15387,2025/02/04,no
PQ239543.1,Chlorophorus diversicolor,Cerambycidae,Polyphaga,15506,2025/02/04,no
PQ239544.1,Chlorophorus dohertii,Cerambycidae,Polyphaga,15507,2025/02/04,no
PQ239545.1,Chlorophorus douei,Cerambycidae,Polyphaga,15779,2025/02/04,no
PQ239546.1,Chlorophorus fraternus,Cerambycidae,Polyphaga,15545,2025/02/04,no
PQ239547.1,Chlorophorus furtivus,Cerambycidae,Polyphaga,15529,2025/02/04,no
PQ239548.1,Chlorophorus insidiosus,Cerambycidae,Polyphaga,15759,2025/02/04,no
PQ239549.1,Chlorophorus lingnanensis,Cerambycidae,Polyphaga,15517,2025/02/04,no
PQ239550.1,Chlorophorus orbatus,Cerambycidae,Polyphaga,15744,2025/02/04,no
PQ239551.1,Chlorophorus proannulatus,Cerambycidae,Polyphaga,15587,2025/02/04,no
PQ239553.1,Chlorophorus quatuordecimmaculatus,Cerambycidae,Polyphaga,15491,2025/02/04,no
PQ239554.1,Chlorophorus siegriedae,Cerambycidae,Polyphaga,15579,2025/02/04,no
PQ239555.1,Chlorophorus simillimus,Cerambycidae,Polyphaga,15549,2025/02/04,no
PQ239556.1,Chlorophorus tredecimmaculatus,Cerambycidae,Polyphaga,15533,2025/02/04,no
KX087264.1,Cortodera humeralis,Cerambycidae,Polyphaga,15928,2017/10/13,no
NC_068540.1,Demonax pseudonotabilis,Cerambycidae,Polyphaga,15527,2022/11/29,no
OP096419.1,Demonax pseudonotabilis,Cerambycidae,Polyphaga,15527,2022/11/06,no
NC_067060.1,Distenia punctulatoides,Cerambycidae,Polyphaga,15675,2022/10/09,no
ON838309.1,Distenia punctulatoides,Cerambycidae,Polyphaga,15675,2022/09/28,no
KX035158.1,Disteniidae sp. BMNH 899837,Cerambycidae,Polyphaga,15598,2017/10/31,no
MN447435.1,Dorcasomus pinheyi,Cerambycidae,Polyphaga,16040,2020/11/07,no
MN829437.1,Dorysthenes granulosus,Cerambycidae,Polyphaga,15858,2020/05/19,yes
MG460483.1,Dorysthenes paradoxus,Cerambycidae,Polyphaga,15922,2018/05/15,no
NC_037927.1,Dorysthenes paradoxus,Cerambycidae,Polyphaga,15922,2018/07/05,no
PX568746.1,Encyclops hubeiensis,Cerambycidae,Polyphaga,16448,2026/05/01,no
OR567313.1,Eodorcadion gorbunovi,Cerambycidae,Polyphaga,15619,2023/10/21,no
MT740323.1,Epipedocera atra,Cerambycidae,Polyphaga,15662,2020/08/24,no
NC_051944.1,Epipedocera atra,Cerambycidae,Polyphaga,15662,2020/12/10,no
OR149087.1,Eutetrapha metallescens,Cerambycidae,Polyphaga,15505,2024/08/19,no
MN044086.1,Glenea cantor,Cerambycidae,Polyphaga,15514,2019/06/24,no
NC_043883.1,Glenea cantor,Cerambycidae,Polyphaga,15514,2019/07/22,no
OR149088.1,Glenea pulchra,Cerambycidae,Polyphaga,15470,2024/08/19,no
PX568745.1,Grammoptera paucula,Cerambycidae,Polyphaga,16095,2026/05/01,no
MN473080.1,Grammoptera ruficornis,Cerambycidae,Polyphaga,16458,2020/11/07,yes
MZ054170.1,Jebusaea hammerschmidtii,Cerambycidae,Polyphaga,15619,2021/06/07,no
OR149090.1,Lamiomimus gottschei,Cerambycidae,Polyphaga,16421,2024/08/19,no
MN420469.1,Leptura annularis,Cerambycidae,Polyphaga,16530,2020/11/07,no
OR149091.1,Macrochenus isabellinus,Cerambycidae,Polyphaga,15675,2024/08/19,no
KC751569.1,Massicus raddei,Cerambycidae,Polyphaga,15858,2014/04/06,no
NC_023937.1,Massicus raddei,Cerambycidae,Polyphaga,15858,2014/04/09,no
MN594765.1,Megopis sinica,Cerambycidae,Polyphaga,15689,2019/12/02,no
NC_045407.1,Megopis sinica,Cerambycidae,Polyphaga,15689,2019/12/12,no
OR149092.1,Mesosa myops,Cerambycidae,Polyphaga,18499,2024/08/19,no
PQ468457.1,Mesosa myops,Cerambycidae,Polyphaga,16130,2024/10/21,no
MW617356.1,Moechotypa diphysis,Cerambycidae,Polyphaga,15493,2021/08/30,no
KJ809086.1,Monochamus alternatus,Cerambycidae,Polyphaga,15874,2014/07/27,yes
NC_024652.1,Monochamus alternatus,Cerambycidae,Polyphaga,15874,2014/08/06,yes
MT547196.1,Monochamus alternatus alternatus,Cerambycidae,Polyphaga,15880,2020/07/23,no
NC_050066.1,Monochamus alternatus alternatus,Cerambycidae,Polyphaga,15880,2020/08/03,no
NC_087624.1,Monochamus guttulatus,Cerambycidae,Polyphaga,17011,2024/04/10,no
OQ168004.1,Monochamus guttulatus,Cerambycidae,Polyphaga,17011,2024/03/13,no
NC_069061.1,Monochamus saltuarius,Cerambycidae,Polyphaga,15896,2022/12/16,yes
OP169419.1,Monochamus saltuarius,Cerambycidae,Polyphaga,15896,2022/11/27,yes
OP169420.1,Monochamus sartor urussovii,Cerambycidae,Polyphaga,15912,2022/11/27,no
OP856519.1,Monochamus sartor urussovii,Cerambycidae,Polyphaga,17378,2023/02/22,no
MW067124.1,Monochamus sparsutus,Cerambycidae,Polyphaga,16029,2020/11/06,no
NC_053906.1,Monochamus sparsutus,Cerambycidae,Polyphaga,16029,2021/03/26,no
PX733946.1,Morimospasma bimaculatum,Cerambycidae,Polyphaga,15993,2025/12/24,no
ON210290.1,Morimospasma sp.,Cerambycidae,Polyphaga,16109,2023/04/05,no
NC_067895.1,Morimospasma tuberculatum,Cerambycidae,Polyphaga,15485,2022/11/12,no
OK030905.1,Morimospasma tuberculatum,Cerambycidae,Polyphaga,15485,2022/10/17,no
OM868038.1,Morimospasma tuberculatum,Cerambycidae,Polyphaga,15526,2023/10/16,no
NC_061180.1,Nadezhdiella cantori,Cerambycidae,Polyphaga,16049,2022/03/11,yes
OM069308.1,Nadezhdiella cantori,Cerambycidae,Polyphaga,16049,2022/02/14,yes
MT525962.1,Neoplocaederus obesus,Cerambycidae,Polyphaga,15683,2020/06/23,no
NC_048951.1,Neoplocaederus obesus,Cerambycidae,Polyphaga,15683,2020/06/28,no
MN420482.1,Nepiodes costipennis multicarinatus,Cerambycidae,Polyphaga,15935,2020/11/07,no
MN473100.1,Niphona lateraliplagiata,Cerambycidae,Polyphaga,15902,2020/11/07,no
MK863508.1,Nortia carinicollis,Cerambycidae,Polyphaga,15602,2019/08/26,no
NC_044698.1,Nortia carinicollis,Cerambycidae,Polyphaga,15602,2019/09/21,no
MN709785.1,Oberea diversipes,Cerambycidae,Polyphaga,15499,2021/01/30,no
NC_053945.1,Oberea diversipes,Cerambycidae,Polyphaga,15499,2021/03/26,no
OR149093.1,Oberea vittata,Cerambycidae,Polyphaga,15494,2024/08/19,no
MK863509.1,Oberea yaoshana,Cerambycidae,Polyphaga,15529,2019/08/26,no
KT945156.1,Obrium sp. NS-2015,Cerambycidae,Polyphaga,15680,2016/01/20,no
MT740324.1,Olenecamptus bilobus,Cerambycidae,Polyphaga,15262,2020/08/24,no
NC_051945.1,Olenecamptus bilobus,Cerambycidae,Polyphaga,15262,2020/12/10,no
MN420465.1,Oxypeltus quadrispinosus,Cerambycidae,Polyphaga,16140,2020/11/07,no
MN420466.1,Oxypeltus quadrispinosus,Cerambycidae,Polyphaga,17001,2020/11/07,no
MW858148.1,Paraglenea fortunei,Cerambycidae,Polyphaga,15496,2021/06/15,no
NC_056837.1,Paraglenea fortunei,Cerambycidae,Polyphaga,15496,2021/08/31,no
MN607219.1,Paulhutchinsonia pilosicollis,Cerambycidae,Polyphaga,15846,2020/04/13,no
NC_048496.1,Paulhutchinsonia pilosicollis,Cerambycidae,Polyphaga,15846,2020/06/01,no
OR149094.1,Pharsalia subgemmata,Cerambycidae,Polyphaga,16553,2024/08/19,no
NC_062855.1,Priotyrannus closteroides,Cerambycidae,Polyphaga,15854,2022/04/27,no
OM161965.1,Priotyrannus closteroides,Cerambycidae,Polyphaga,15854,2022/04/05,no
FJ424074.1,Psacothea hilaris,Cerambycidae,Polyphaga,15856,2009/08/05,no
NC_013070.1,Psacothea hilaris,Cerambycidae,Polyphaga,15856,2009/08/05,no
NC_066480.1,Pseudoechthistatus chiangshunani,Cerambycidae,Polyphaga,16419,2022/09/22,no
OP006455.1,Pseudoechthistatus chiangshunani,Cerambycidae,Polyphaga,16419,2022/09/05,no
NC_065262.1,Pseudoechthistatus hei,Cerambycidae,Polyphaga,16103,2022/08/03,no
ON641973.1,Pseudoechthistatus hei,Cerambycidae,Polyphaga,16103,2022/07/12,no
MK863510.1,Pterolophia sp. ZJY-2019,Cerambycidae,Polyphaga,16063,2019/08/26,no
NC_044699.1,Pterolophia sp. ZJY-2019,Cerambycidae,Polyphaga,16063,2019/09/21,no
MN442320.1,Pyrrhidium sanguineum,Cerambycidae,Polyphaga,15748,2020/11/07,no
MN473103.1,Rhagium fortecostatum,Cerambycidae,Polyphaga,16274,2020/11/07,no
OR149095.1,Rondibilis sp.,Cerambycidae,Polyphaga,15854,2024/08/19,no
PZ259265.1,Ropica dorsalis,Cerambycidae,Polyphaga,15524,2026/04/14,no
OR149096.1,Saperda subobliterata,Cerambycidae,Polyphaga,15499,2024/08/19,no
MZ955033.1,Saperda tetrastigma,Cerambycidae,Polyphaga,15563,2021/10/05,no
PV553742.1,Similonedine brunniofasciata,Cerambycidae,Polyphaga,15477,2025/04/29,no
MN420476.1,Spondylis buprestoides,Cerambycidae,Polyphaga,16070,2020/11/07,no
MT826860.1,Spondylis buprestoides,Cerambycidae,Polyphaga,15837,2020/09/09,no
NC_052914.1,Spondylis buprestoides,Cerambycidae,Polyphaga,15837,2021/02/09,no
MN473082.1,Stenocorus meridianus,Cerambycidae,Polyphaga,16227,2020/11/07,no
NC_069633.1,Sthenias yunnanus,Cerambycidae,Polyphaga,15633,2023/01/22,no
OP613265.1,Sthenias yunnanus,Cerambycidae,Polyphaga,15633,2022/12/12,no
MN473111.1,Teledapalpus zolotichini,Cerambycidae,Polyphaga,16651,2020/11/07,no
MK863511.1,Thermistis croceocincta,Cerambycidae,Polyphaga,15503,2019/08/26,no
NC_044700.1,Thermistis croceocincta,Cerambycidae,Polyphaga,15503,2019/09/21,no
KY292221.1,Thyestilla gebleri,Cerambycidae,Polyphaga,15505,2017/05/07,no
NC_034752.1,Thyestilla gebleri,Cerambycidae,Polyphaga,15505,2017/05/24,no
NC_068658.1,Trachylophus sinensis,Cerambycidae,Polyphaga,15746,2022/12/05,no
OM645192.1,Trachylophus sinensis,Cerambycidae,Polyphaga,15746,2022/11/08,no
PX842584.1,Trirachys orientalis,Cerambycidae,Polyphaga,16028,2026/01/22,no
MN420488.1,Tsivoka simplicicollis,Cerambycidae,Polyphaga,16700,2020/11/07,no
NC_060874.1,Turanoclytus namaganensis,Cerambycidae,Polyphaga,15565,2022/02/11,no
OK189517.1,Turanoclytus namaganensis,Cerambycidae,Polyphaga,15565,2022/01/09,no
PP690940.1,Uraecha angusta,Cerambycidae,Polyphaga,15678,2024/05/20,no
MN473093.1,Vesperus sanzi,Cerambycidae,Polyphaga,16125,2020/11/07,no
NC_061182.1,Xoanodera maculata,Cerambycidae,Polyphaga,15767,2022/03/11,no
OM069310.1,Xoanodera maculata,Cerambycidae,Polyphaga,15767,2022/02/14,no
KM112084.1,Xylotrechus grayii,Cerambycidae,Polyphaga,15540,2016/07/31,no
NC_030782.1,Xylotrechus grayii,Cerambycidae,Polyphaga,15540,2016/08/16,no
MK570750.1,Xystrocera globosa,Cerambycidae,Polyphaga,15707,2019/10/01,no
NC_045097.1,Xystrocera globosa,Cerambycidae,Polyphaga,15707,2019/10/29,no
MW858149.1,Zoodes fulguratus,Cerambycidae,Polyphaga,15885,2021/05/10,no
KX035161.1,Cerophytidae sp. BMNH 900085,Cerophytidae,Polyphaga,15741,2017/10/31,no
EU877951.1,Chaetosoma scaritides,Chaetosomatidae,Polyphaga,15511,2008/10/01,no
NC_011324.1,Chaetosoma scaritides,Chaetosomatidae,Polyphaga,15511,2008/10/03,no
MT554388.1,Abirus fortunei,Chrysomelidae,Polyphaga,15892,2024/05/01,no
KX825864.1,Acanthoscelides obtectus,Chrysomelidae,Polyphaga,16130,2017/07/26,yes
NC_035677.1,Acanthoscelides obtectus,Chrysomelidae,Polyphaga,16130,2017/08/31,yes
NC_066821.1,Adiscus speciosus,Chrysomelidae,Polyphaga,15495,2022/10/03,no
OK012092.1,Adiscus speciosus,Chrysomelidae,Polyphaga,15495,2022/09/19,no
KR494279.1,Agasicles hygrophila,Chrysomelidae,Polyphaga,15917,2015/10/21,no
KY039098.1,Agasicles hygrophila,Chrysomelidae,Polyphaga,15918,2018/10/16,no
NC_028332.1,Agasicles hygrophila,Chrysomelidae,Polyphaga,15917,2015/11/05,no
NC_082137.1,Agetocera filicornis,Chrysomelidae,Polyphaga,15814,2023/09/16,no
OR197604.1,Agetocera filicornis,Chrysomelidae,Polyphaga,15814,2023/07/31,no
MF351622.1,Agonita chinensis,Chrysomelidae,Polyphaga,16395,2018/01/24,no
MH477595.1,Altica cirsicola,Chrysomelidae,Polyphaga,15461,2020/04/23,no
MH477601.1,Altica cirsicola,Chrysomelidae,Polyphaga,15864,2019/05/18,no
MH477602.1,Altica cirsicola,Chrysomelidae,Polyphaga,15291,2019/05/18,no
NC_042876.1,Altica cirsicola,Chrysomelidae,Polyphaga,15864,2019/06/25,no
MH477592.1,Altica fragariae,Chrysomelidae,Polyphaga,16093,2020/04/23,no
MH477593.1,Altica fragariae,Chrysomelidae,Polyphaga,17363,2020/04/23,no
MH477597.1,Altica fragariae,Chrysomelidae,Polyphaga,16220,2019/05/18,no
MH477600.1,Altica fragariae,Chrysomelidae,Polyphaga,16441,2019/05/18,no
NC_042875.1,Altica fragariae,Chrysomelidae,Polyphaga,16220,2019/06/25,no
PQ038342.1,Altica sp.,Chrysomelidae,Polyphaga,16264,2025/04/16,no
MH477594.1,Altica viridicyanea,Chrysomelidae,Polyphaga,16706,2020/04/23,no
MH477596.1,Altica viridicyanea,Chrysomelidae,Polyphaga,15629,2020/04/23,no
NC_048472.1,Altica viridicyanea,Chrysomelidae,Polyphaga,16706,2020/06/01,no
PQ443030.1,Aoria bowringii,Chrysomelidae,Polyphaga,17113,2024/11/04,no
PV563566.1,Aoria bowringii,Chrysomelidae,Polyphaga,17054,2025/04/29,no
NC_065028.1,Aoria nigripes,Chrysomelidae,Polyphaga,17306,2022/08/03,no
ON553912.1,Aoria nigripes,Chrysomelidae,Polyphaga,17306,2022/06/28,no
MG021082.1,Apophylia sp. REN-2018,Chrysomelidae,Polyphaga,15151,2019/02/09,no
NC_071372.1,Argopistes capensis,Chrysomelidae,Polyphaga,14528,2023/02/24,no
OP868831.1,Argopistes capensis,Chrysomelidae,Polyphaga,14528,2023/01/24,no
NC_071373.1,Argopistes sexvittatus,Chrysomelidae,Polyphaga,14533,2023/02/24,no
OP868832.1,Argopistes sexvittatus,Chrysomelidae,Polyphaga,14533,2023/01/24,no
OP868833.1,Argopistes sexvittatus,Chrysomelidae,Polyphaga,14534,2023/01/24,no
MK060107.1,Argopistes tsekooni,Chrysomelidae,Polyphaga,16552,2020/02/15,no
NC_045929.1,Argopistes tsekooni,Chrysomelidae,Polyphaga,16552,2020/02/24,no
MK049862.1,Aspidomorpha difformis,Chrysomelidae,Polyphaga,15325,2021/04/27,no
MN162709.1,Aulacophora indica,Chrysomelidae,Polyphaga,16246,2020/04/22,no
MN686023.1,Aulacophora indica,Chrysomelidae,Polyphaga,15729,2021/02/14,no
NC_047467.1,Aulacophora indica,Chrysomelidae,Polyphaga,16246,2020/04/26,no
KY039109.1,Aulacophora lewisii,Chrysomelidae,Polyphaga,15691,2018/10/16,yes
